HerdID,Date,Year,Latitude,Longitude,Group Size
MXHERD-23-70,04-Aug-23,2023,80.074844,-81.767427,1
MXHERD-23-71,04-Aug-23,2023,80.188618,-87.920673,2
MXHERD-23-72,04-Aug-23,2023,80.204797,-87.966576,8
MXHERD-23-73,04-Aug-23,2023,80.242114,-87.985859,2
MXHERD-23-74,04-Aug-23,2023,80.255548,-88.014525,1
MXHERD-23-75,04-Aug-23,2023,80.262639,-88.05678,27
MXHERD-23-76,04-Aug-23,2023,80.252081,-88.088419,11
MXHERD-23-77,04-Aug-23,2023,80.231805,-88.091794,10
MXHERD-23-78,04-Aug-23,2023,80.255807,-88.238575,21
MXHERD-23-79,04-Aug-23,2023,80.28276,-88.367772,4
MXHERD-23-80,04-Aug-23,2023,80.307803,-88.266368,1
MXHERD-23-81,04-Aug-23,2023,80.315942,-88.11528,18
MXHERD-23-82,04-Aug-23,2023,80.3145,-88.068021,2
MXHERD-23-83,04-Aug-23,2023,80.27262,-88.392848,23
MXHERD-23-84,04-Aug-23,2023,79.947674,-88.420008,13
MXHERD-23-85,04-Aug-23,2023,79.851462,-87.736296,8
MXHERD-23-86,05-Aug-23,2023,79.893805,-84.465617,15
MXHERD-23-87,05-Aug-23,2023,79.696125,-80.778292,2
MXHERD-23-88,05-Aug-23,2023,79.53574,-80.60199,1
MXHERD-23-89,05-Aug-23,2023,79.142671,-81.727388,1
MXHERD-23-90,05-Aug-23,2023,79.46367,-81.547284,1
MXHERD-23-91,05-Aug-23,2023,79.418897,-81.472418,1
MXHERD-23-92,05-Aug-23,2023,79.260646,-81.899931,1
MXHERD-23-93,05-Aug-23,2023,79.645668,-81.959979,14
MXHERD-23-94,06-Aug-23,2023,79.537728,-83.651691,21
MXHERD-23-95,07-Aug-23,2023,79.814498,-87.105869,2
MXHERD-23-96,07-Aug-23,2023,79.798182,-87.209834,1
MXHERD-23-97,07-Aug-23,2023,79.787974,-87.160327,2
MXHERD-23-98,07-Aug-23,2023,79.639544,-87.239601,1
MXHERD-23-99,07-Aug-23,2023,79.633976,-87.221962,1
MXHERD-24-02,26-Jul-24,2024,80.156714,-85.460402,1
MXHERD-24-04,28-Jul-24,2024,80.083399,-85.58098,22
MXHERD-24-05,29-Jul-24,2024,80.245021,-85.467713,1
MXHERD-24-08,31-Jul-24,2024,80.216243,-85.536661,18
MXHERD-24-09,01-Aug-24,2024,80.113534,-85.613202,16
MXHERD-24-10,01-Aug-24,2024,80.131472,-85.733809,1
MXHERD-24-12,02-Aug-24,2024,80.157132,-85.491147,2
MXHERD-24-14,29-Jul-24,2024,80.101629,-86.174848,12
MXHERD-24-15,04-Aug-24,2024,80.206783,-85.224638,10
MXHERD-24-16,04-Aug-24,2024,80.159233,-85.499554,24
MXHERD-24-17,04-Aug-24,2024,80.161271,-85.481808,21
MXHERD-24-18,06-Aug-24,2024,80.156478,-85.342864,5
MXHERD-24-21,09-Aug-24,2024,80.147195,-85.385721,4
MXHERD-24-24,09-Aug-24,2024,80.124644,-85.519502,2
MXHERD-24-25,10-Aug-24,2024,80.046821,-85.688385,1
MXHERD-24-28,12-Aug-24,2024,80.138137,-84.707817,2
