LocalID,Report Date,Year of Death,First Sample Year,Species,Location,Latitude,Longitude,Sex,Age,Sampled,Definitive Case,Presumptive Case,Case,AnyTissueCulture,ACTissueCulture,AnyTissueCultureOrPCR,ACTissueCultureOrPCR,AnySoilCulture,ACSoilCulture,AnySoilCultureOrPCR,ACSoilCultureOrPCR,AnyTissueSoilCulture,ACTissueSoilCulture,AnyTissueSoilCultureOrPCR,ACTissueSoilCultureOrPCR
MX-21-18,24-Aug-21,2021,NA,Muskox,Ellesmere,80.18166,-84.71597,U,NA,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX-21-19,26-Aug-21,2021,2022,Muskox,Ellesmere,80.12261,-85.533406,M,4,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
MX-21-20,27-Aug-21,2021,NA,Muskox,Ellesmere,80.13442,-85.65906,U,NA,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX-21-21,27-Aug-21,2021,2022,Muskox,Ellesmere,80.22003,-85.508159,M,5,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
MX-21-22,28-Aug-21,2021,NA,Muskox,Ellesmere,80.2346,-84.55888,U,NA,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX-21-23,31-Aug-21,2021,NA,Muskox,Ellesmere,80.1288,-85.73219,U,NA,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX-21-24,31-Aug-21,2021,2022,Muskox,Ellesmere,80.15648,-85.41148,M,5,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
MX-21-25,07-Sep-21,2021,2022,Muskox,Ellesmere,80.1535,-84.980479,M,5,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
MX-21-26A,12-Sep-21,2021,2022,Muskox,Ellesmere,80.14687,-85.31208,M,5,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
MX-21-26B,16-Sep-21,2021,2022,Muskox,Ellesmere,80.146752,-85.311777,F,4,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
MX-22-30,14-Aug-22,Unknown,NA,Muskox,Ellesmere,80.149734,-85.368949,M,5,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX-22-31,14-Aug-22,Unknown,2022,Muskox,Ellesmere,80.139187,-85.356554,M,5,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y
MX-22-32,14-Aug-22,Unknown,2023,Muskox,Ellesmere,80.142233,-85.350076,M,3,Y,N,N,N,NA,NA,NA,NA,N,N,N,N,N,N,N,N
MX-22-33,pre-2017,Unknown,2022,Muskox,Ellesmere,80.155034,-85.352575,M,5,Y,N,N,N,NA,NA,NA,NA,N,N,Y,N,N,N,Y,N
MX-22-34,14-Aug-22,Unknown,2022,Muskox,Ellesmere,80.158269,-85.382104,M,5,Y,N,N,N,N,N,Y,Y,N,N,Y,Y,N,N,Y,Y
MX-22-35,04-Sep-18,Unknown,2022,Muskox,Ellesmere,80.155473,-85.417575,M,5,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,Y
MX-22-36,15-Aug-22,Unknown,2023,Muskox,Ellesmere,80.154883,-85.48172,M,5,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,Y
MX-22-37,15-Aug-22,Unknown,NA,Muskox,Ellesmere,80.189288,-85.280282,U,NA,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX-22-38,15-Aug-22,Unknown,2022,Muskox,Ellesmere,80.195755,-85.353149,M,5,Y,N,N,N,Y,Y,Y,Y,NA,NA,NA,NA,Y,Y,Y,Y
MX-22-39,15-Aug-22,Unknown,2022,Muskox,Ellesmere,80.166917,-85.322997,M,5,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,Y
MX-22-40,26-Aug-21,2021,2022,Muskox,Ellesmere,80.124656,-85.543617,F,5,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y
MX-22-41,16-Aug-22,Unknown,NA,Muskox,Ellesmere,80.162396,-85.465839,M,5,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX-22-42,16-Aug-22,Unknown,2022,Muskox,Ellesmere,80.161924,-85.468626,M,3,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,Y
MX-22-43,18-Aug-22,Unknown,2023,Muskox,Ellesmere,80.223317,-85.385972,F,2,Y,N,N,N,NA,NA,NA,NA,N,N,N,N,N,N,N,N
MX-22-44,18-Aug-22,2022,2022,Muskox,Ellesmere,80.213489,-85.506645,U,1,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
MX-22-45,19-Aug-22,Unknown,NA,Muskox,Ellesmere,80.111701,-85.684653,M,5,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX-22-46,19-Aug-22,Unknown,2022,Muskox,Ellesmere,80.09094,-85.710975,M,5,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
MX-22-47,19-Aug-22,Unknown,2022,Muskox,Ellesmere,80.143589,-85.744576,F,5,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y
MX-22-48,20-Aug-22,Unknown,2023,Muskox,Ellesmere,80.146537,-85.271001,F,5,Y,N,N,N,NA,NA,NA,NA,N,N,N,N,N,N,N,N
